                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1112,                 1.9337,                 2.2986,                 1.1712,                0.29667,                0.34265,                0.36802,                0.24783,                0.29551,                0.33818,                0.35934,                0.23058,                0.95442,                  1.994,                 1.7278,                 1.0604,             0.00047104,             0.00047104,             0.00047104
                      2,                0.97573,                  1.509,                 1.0876,                 1.0532,                0.65818,                0.18026,                0.21051,                0.13557,                0.65185,                0.17368,                 0.1932,                0.10425,                  1.352,                 3.3336,                 2.2628,                 1.2706,             0.00085358,             0.00085358,             0.00085358
                      3,                0.94519,                 1.4368,                0.91978,                 1.0411,                 0.8343,                0.41825,                0.47829,                0.30461,                0.83339,                0.41691,                0.47682,                0.29996,                0.98327,                 1.5098,                 1.1783,                 1.0434,              0.0011418,              0.0011418,              0.0011418
                      4,                0.91794,                 1.3816,                0.77636,                 1.0179,                0.83661,                0.31552,                0.44971,                0.31633,                 0.8361,                0.31321,                0.44886,                0.31655,                0.96735,                 1.5289,                 1.4841,                 1.0387,              0.0010046,              0.0010046,              0.0010046
                      5,                0.85846,                 1.2895,                0.74958,                 0.9965,                0.91633,                 0.5612,                0.61534,                0.46663,                0.91682,                0.56165,                0.61403,                0.44655,                0.77534,                 1.2308,                0.72135,                0.94651,             0.00086312,             0.00086312,             0.00086312
                      6,                0.81025,                 1.2067,                0.61883,                0.96554,                 0.8929,                0.62183,                0.63426,                0.46323,                0.89659,                0.60904,                0.63354,                0.46071,                0.80187,                 1.0372,                 0.5714,                0.94321,             0.00072164,             0.00072164,             0.00072164
                      7,                0.79399,                 1.1799,                0.56117,                0.95802,                 0.6249,                0.80489,                0.79586,                0.64893,                0.62251,                 0.7991,                0.79172,                0.62733,                0.68265,                0.95944,                0.48353,                0.90364,             0.00058017,             0.00058017,             0.00058017
                      8,                0.71185,                 1.0485,                0.49047,                0.92674,                0.93736,                 0.7304,                0.86705,                0.72542,                0.93688,                0.72995,                0.86646,                0.69018,                0.64549,                0.91942,                0.44831,                 0.8827,              0.0004387,              0.0004387,              0.0004387
                      9,                 0.6891,                 1.0362,                0.46596,                0.91462,                0.94037,                0.86806,                0.95879,                0.80887,                 0.9409,                0.86799,                0.95874,                0.78399,                0.59041,                0.84425,                0.40261,                  0.871,             0.00029723,             0.00029723,             0.00029723
                     10,                0.65348,                0.97997,                0.41946,                0.89849,                0.68988,                0.87826,                0.91568,                0.77777,                0.68555,                0.87298,                0.91402,                0.74118,                0.56903,                0.82229,                0.38867,                0.85487,             0.00015576,             0.00015576,             0.00015576
